재산피해금액,화재발생일자,화재진압시간,현장소방서거리,발생장소_시도,발생장소_시군구,발생장소_읍면,읍면동구분명,발화원인,발화열원명,발화요인소분류명,발화요인대분류명,발화열원소분류명,최초착화물대분류명,전체인력수합계,날씨,온도,습도,시간단위풍속,시간단위풍향,특보내용,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,산림면적,계절,물가상승배수
64,20180729,51925,34,강원,춘천,남,가정리,입산자실화,미상,미상,미상,미상,미상,65,맑음,34,45,45,4,,일,2018,7,29,19:00,강원,가정,기,작업장실화,,0.86,"51,062",여름,0.976
0,20180731,22401,40,강원,원주,부론,정산리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,65,맑음,36,36,0,4,,화,2018,7,31,17:21,강원,정산,기,작업장실화,,0.2,"52,252",여름,0.976
132,20190707,4951,28,강원,횡성,청일,갑천리,미상,미상,미상,미상,미상,기타,67,맑음,27,41,135,,,일,2019,7,7,17:10,강원,갑천,건,화장실 화재,,0.07,"44,302",여름,0.976
0,20190708,10239,30,강원,원주,신림,성남리,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,73,맑음,21,0,180,4,,월,2019,7,8,12:45,강원,성산,기,원인미상,,0.1,"52,252",여름,0.976
0,20190709,3957,28,강원,원주,귀래,용암리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,38,맑음,19,62,135,4,,화,2019,7,9,16:00,강원,용암,담,담뱃불 실화 추정,,0.01,"52,252",여름,0.976
0,20190709,10508,28,강원,원주,귀래,용암리,기타,불꽃/불티,모닥불/연탄/숯,기타,기타,종이/목재/건초등,56,맑음,14,94,135,4,,화,2019,7,9,16:00,강원,용암,담,담뱃불 실화 추정,,0.01,"52,252",여름,0.976
1969,20190709,12107,10,강원,영월,남,창원리,기타,담뱃불/라이터불,라이터불/성냥불,부주의,부주의,종이/목재/건초등,84,맑음,23,52,90,4,,화,2019,7,9,21:10,강원,창원,기,농산폐기물 소각,,0.6,"34,137",여름,0.976
0,20130811,14300,64,강원,삼척,가곡,풍곡리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,15,맑음,29,33,135,4,,일,2013,8,12,8:38,동부,풍곡,기,기타(직접입력),낙뢰추정,0.5,"40,519",여름,0.976
136,20160818,20428,24,강원,횡성,서원,,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,76,맑음,24,25,180,4,,목,2016,8,18,18:46,북부,옥계,입,등산객실화,,0.04,"44,302",여름,0.976
0,20160823,10619,30,강원,원주,귀래,,미상,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,34,맑음,33,20,,,,화,2016,8,23,18:44,강원,귀래,기,기타(직접입력),조사중,0.03,"52,252",여름,0.976
1,20180801,61457,36,강원,춘천,동,품걸리,담뱃불,불꽃/불티,불꽃/불티,부주의,불씨/불꽃/화원방치,종이/목재/건초등,94,맑음,35,66,45,4,,수,2018,8,1,13:00,북부,품걸,기,기타(직접입력),조명탄 발화(조사중),0.1,"51,062",여름,0.976
0,20180803,42355,18,강원,횡성,우천,정금리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,107,맑음,37,59,270,4,,금,2018,8,3,13:10,강원,정금,입,기타(직접입력),입산자 실화추정,1.04,"44,302",여름,0.976
0,20180805,3708,10,강원,홍천,동,월운리,담뱃불,담뱃불/라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,59,맑음,35,48,270,4,,일,2018,8,5,18:10,강원,월운,입,기타(직접입력),입산자 실화,0.03,"65,341",여름,0.976
